Company Name,Symbol,ISIN Code
APOLLO MICRO SYSTEMS LIMITED,APOLLO,INE713T01028
PC JEWELLER LIMITED,PCJEWELLER,INE785M01021
PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED,PARAS,INE045601023
CUPID LIMITED,CUPID,INE509F01029
VA TECH WABAG LIMITED,WABAG,INE956G01038
THANGAMAYIL JEWELLERY LIMITED,THANGAMAYL,INE085J01014
GREAVES COTTON LIMITED,GREAVESCOT,INE224A01026
STERLITE TECHNOLOGIES LIMITED,STLTECH,INE089C01029
AEQUS LIMITED,AEQUS,INE947N01017
BALAJI AMINES LIMITED,BALAMINES,INE050E01027
MTAR TECHNOLOGIES LIMITED,MTARTECH,INE864I01014
V2 RETAIL LIMITED,V2RETAIL,INE945H01021
SKY GOLD AND DIAMONDS LIMITED,SKYGOLD,INE01IU01018
UJJIVAN SMALL FINANCE BANK LIMITED,UJJIVANSFB,INE551W01018
NAZARA TECHNOLOGIES LIMITED,NAZARA,INE418L01047
ASTRA MICROWAVE PRODUCTS LIMITED,ASTRAMICRO,INE386C01029
THE SOUTH INDIAN BANK LIMITED,SOUTHBANK,INE683A01023
AVENUESAI LIMITED,CCAVENUE,INE483S01020
TIME TECHNOPLAST LIMITED,TIMETECHNO,INE508G01029
SHILPA MEDICARE LIMITED,SHILPAMED,INE790G01031
SKIPPER LIMITED,SKIPPER,INE439E01022
HAPPIEST MINDS TECHNOLOGIES LIMITED,HAPPSTMNDS,INE419U01012
VIYASH SCIENTIFIC LIMITED,VIYASH,INE807F01027
TD POWER SYSTEMS LIMITED,TDPOWERSYS,INE419M01027
RATEGAIN TRAVEL TECHNOLOGIES LIMITED,RATEGAIN,INE0CLI01024
ELECTRONICS MART INDIA LIMITED,EMIL,INE02YR01019
JAMNA AUTO INDUSTRIES LIMITED,JAMNAAUTO,INE039C01032
TRIVENI ENGINEERING & INDUSTRIES LIMITED,TRIVENI,INE256C01024
AVALON TECHNOLOGIES LIMITED,AVALON,INE0LCL01028
RESTAURANT BRANDS ASIA LIMITED,RBA,INE07T201019
ENVIRO INFRA ENGINEERS LIMITED,EIEL,INE0LLY01014
KIRLOSKAR PNEUMATIC COMPANY LIMITED,KIRLPNU,INE811A01020
AETHER INDUSTRIES LIMITED,AETHER,INE0BWX01014
SHAILY ENGINEERING PLASTICS LIMITED,SHAILY,INE151G01028
LLOYDS ENGINEERING WORKS LIMITED,LLOYDSENGG,INE093R01011
MSTC LIMITED,MSTCLTD,INE255X01014
LE TRAVENUES TECHNOLOGY LIMITED,IXIGO,INE0HV901016
THE KARNATAKA BANK LIMITED,KTKBANK,INE614B01018
FUJIYAMA POWER SYSTEMS LIMITED,UTLSOLAR,INE12UR01024
PICCADILY AGRO INDUSTRIES LIMITED,PICCADIL,INE546C01010
RAIN INDUSTRIES LIMITED,RAIN,INE855B01025
BLACK BOX LIMITED,BBOX,INE676A01027
HINDUSTAN CONSTRUCTION COMPANY LIMITED,HCC,INE549A01026
DIAMOND POWER INFRASTRUCTURE LIMITED,DIACABS,INE989C01038
JAYASWAL NECO INDUSTRIES LIMITED,JAYNECOIND,INE854B01010
DCB BANK LIMITED,DCBBANK,INE503A01015
ARVIND LIMITED,ARVIND,INE034A01011
SKF INDIA (INDUSTRIAL) LIMITED,SKFINDUS,INE2J8701016
ADVANCED ENZYME TECHNOLOGIES LIMITED,ADVENZYMES,INE837H01020
REFEX INDUSTRIES LIMITED,REFEX,INE056I01025
JEENA SIKHO LIFECARE LIMITED,JSLL,INE0J5801029
INDIGO PAINTS LIMITED,INDIGOPNTS,INE09VQ01012
GARWARE HI-TECH FILMS LIMITED,GRWRHITECH,INE291A01017
SANSERA ENGINEERING LIMITED,SANSERA,INE953O01021
PRIVI SPECIALITY CHEMICALS LIMITED,PRIVISCL,INE959A01019
TEXMACO RAIL & ENGINEERING LIMITED,TEXRAIL,INE621L01012
SHAKTI PUMPS (INDIA) LIMITED,SHAKTIPUMP,INE908D01010
INDIA GLYCOLS LIMITED,INDIAGLYCO,INE560A01023
V-MART RETAIL LIMITED,VMART,INE665J01013
AZAD ENGINEERING LIMITED,AZAD,INE02IJ01035
PARK MEDI WORLD LIMITED,PARKHOSPS,INE119201023
TIPS MUSIC LIMITED,TIPSMUSIC,INE716B01029
INOX INDIA LIMITED,INOXINDIA,INE616N01034
ALIVUS LIFE SCIENCES LIMITED,ALIVUS,INE03Q201024
P N GADGIL JEWELLERS LIMITED,PNGJL,INE953R01016
MARKSANS PHARMA LIMITED,MARKSANS,INE750C01026
KPI GREEN ENERGY LIMITED,KPIGREEN,INE542W01025
PRIME FOCUS LIMITED,PFOCUS,INE367G01038
VOLTAMP TRANSFORMERS LIMITED,VOLTAMP,INE540H01012
TAMILNAD MERCANTILE BANK LIMITED,TMB,INE668A01016
QUESS CORP LIMITED,QUESS,INE615P01015
SUPRIYA LIFESCIENCE LIMITED,SUPRIYA,INE07RO01027
PRICOL LIMITED,PRICOLLTD,INE726V01018
WELSPUN ENTERPRISES LIMITED,WELENT,INE625G01013
AXISCADES TECHNOLOGIES LIMITED,AXISCADES,INE555B01013
