Company Name,Symbol,ISIN Code
BSE LIMITED,BSE,INE118H01025
MULTI COMMODITY EXCHANGE OF INDIA LIMITED,MCX,INE745G01043
EXIDE INDUSTRIES LIMITED,EXIDEIND,INE302A01020
PERSISTENT SYSTEMS LIMITED,PERSISTENT,INE262H01021
COFORGE LIMITED,COFORGE,INE591G01025
DIXON TECHNOLOGIES (INDIA) LIMITED,DIXON,INE935N01020
KPIT TECHNOLOGIES LIMITED,KPITTECH,INE04I401011
GE VERNOVA T&D INDIA LIMITED,GVT&D,INE200A01026
BHARAT HEAVY ELECTRICALS LIMITED,BHEL,INE257A01026
ASHOK LEYLAND LIMITED,ASHOKLEY,INE208A01029
HITACHI ENERGY INDIA LIMITED,POWERINDIA,INE07Y701011
VODAFONE IDEA LIMITED,IDEA,INE669E01016
LAURUS LABS LIMITED,LAURUSLABS,INE947Q01028
ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,OFSS,INE881D01027
STEEL AUTHORITY OF INDIA LIMITED,SAIL,INE114A01011
APAR INDUSTRIES LIMITED,APARINDS,INE372A01015
HERO MOTOCORP LIMITED,HEROMOTOCO,INE158A01026
BILLIONBRAINS GARAGE VENTURES LIMITED,GROWW,INE0HOQ01053
THE PHOENIX MILLS LIMITED,PHOENIXLTD,INE211B01039
AWL AGRI BUSINESS LIMITED,AWL,INE699H01024
SUZLON ENERGY LIMITED,SUZLON,INE040H01021
PRESTIGE ESTATES PROJECTS LIMITED,PRESTIGE,INE811K01011
POLYCAB INDIA LIMITED,POLYCAB,INE455K01017
ONE 97 COMMUNICATIONS LIMITED,PAYTM,INE982J01020
INDIAN BANK,INDIANB,INE562A01011
SWIGGY LIMITED,SWIGGY,INE00H001014
PATANJALI FOODS LIMITED,PATANJALI,INE619A01035
NATIONAL ALUMINIUM COMPANY LIMITED,NATIONALUM,INE139A01034
GMR AIRPORTS LIMITED,GMRAIRPORT,INE776C01039
THE FEDERAL BANK  LIMITED,FEDERALBNK,INE171A01029
HINDUSTAN PETROLEUM CORPORATION LIMITED,HINDPETRO,INE094A01015
INFO EDGE (INDIA) LIMITED,NAUKRI,INE663F01032
OBEROI REALTY LIMITED,OBEROIRLTY,INE093I01010
LENSKART SOLUTIONS LIMITED,LENSKART,INE956O01016
TATA ELXSI LIMITED,TATAELXSI,INE670A01012
BANK OF INDIA,BANKINDIA,INE084A01016
MPHASIS LIMITED,MPHASIS,INE356A01018
THERMAX LIMITED,THERMAX,INE152A01029
IDFC FIRST BANK LIMITED,IDFCFIRSTB,INE092T01019
APOLLO TYRES LIMITED,APOLLOTYRE,INE438A01022
VISHAL MEGA MART LIMITED,VMM,INE01EA01019
PAGE INDUSTRIES LIMITED,PAGEIND,INE761H01022
KEI INDUSTRIES LIMITED,KEI,INE878B01027
WAAREE ENERGIES LIMITED,WAAREEENER,INE377N01017
FSN E-COMMERCE VENTURES LIMITED,NYKAA,INE388Y01029
COCHIN SHIPYARD LIMITED,COCHINSHIP,INE704P01025
BHARAT FORGE LIMITED,BHARATFORG,INE465A01025
SRF LIMITED,SRF,INE647A01010
KALYAN JEWELLERS INDIA LIMITED,KALYANKJIL,INE303R01014
PB FINTECH LIMITED,POLICYBZR,INE417T01026
OIL INDIA LIMITED,OIL,INE274J01014
JSW ENERGY LIMITED,JSWENERGY,INE121E01018
LUPIN LIMITED,LUPIN,INE326A01037
INDUS TOWERS LIMITED,INDUSTOWER,INE121J01017
YES BANK LIMITED,YESBANK,INE528G01035
DABUR INDIA LIMITED,DABUR,INE016A01026
TATA COMMUNICATIONS LIMITED,TATACOMM,INE151A01013
AU SMALL FINANCE BANK LIMITED,AUBANK,INE949L01017
MRF LIMITED,MRF,INE883A01011
ADANI TOTAL GAS LIMITED,ATGL,INE399L01023
L&T FINANCE LIMITED,LTF,INE498L01015
NHPC LIMITED,NHPC,INE848E01016
RADICO KHAITAN LIMITED,RADICO,INE944F01028
JSW INFRASTRUCTURE LIMITED,JSWINFRA,INE880J01026
NMDC LIMITED,NMDC,INE584A01023
FORTIS HEALTHCARE LIMITED,FORTIS,INE061F01013
SUPREME INDUSTRIES LIMITED,SUPREMEIND,INE195A01028
GLENMARK PHARMACEUTICALS LIMITED,GLENMARK,INE935A01035
ADITYA BIRLA CAPITAL LIMITED,ABCAPITAL,INE674K01013
GODREJ PROPERTIES LIMITED,GODREJPROP,INE484J01027
APL APOLLO TUBES LIMITED,APLAPOLLO,INE702C01027
INDUSIND BANK LIMITED,INDUSINDBK,INE095A01012
