Company Name,Symbol,ISIN Code
RHI MAGNESITA INDIA LIMITED,RHIM,INE743M01012
ZENSAR TECHNOLOGIES LIMITED,ZENSARTECH,INE520A01027
SONATA SOFTWARE LIMITED,SONATSOFTW,INE269A01021
FORCE MOTORS LTD,FORCEMOT,INE451A01017
DELHIVERY LIMITED,DELHIVERY,INE148O01028
HFCL LIMITED,HFCL,INE548A01028
OLA ELECTRIC MOBILITY LIMITED,OLAELEC,INE0LXG01040
AEGIS LOGISTICS LIMITED,AEGISLOG,INE208C01025
ZEE ENTERTAINMENT ENTERPRISES LIMITED,ZEEL,INE256A04022
HIMADRI SPECIALITY CHEMICAL LIMITED,HSCL,INE019C01026
SONA BLW PRECISION FORGINGS LIMITED,SONACOMS,INE073K01018
NETWEB TECHNOLOGIES INDIA LIMITED,NETWEB,INE0NT901020
DATA PATTERNS (INDIA) LIMITED,DATAPATTNS,INE0IX101010
TATA TECHNOLOGIES LIMITED,TATATECH,INE142M01025
MEESHO LIMITED,MEESHO,INE0VDM01015
IFCI LIMITED,IFCI,INE039A01010
TBO TEK LIMITED,TBOTEK,INE673O01025
SAGILITY LIMITED,SAGILITY,INE0W2G01015
ATHER ENERGY LIMITED,ATHERENERG,INE0LEZ01016
C.E. INFO SYSTEMS LIMITED,MAPMYINDIA,INE0BV301023
ANGEL ONE LIMITED,ANGELONE,INE732I01021
CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,CDSL,INE736A01011
INVENTURUS KNOWLEDGE SOLUTIONS LIMITED,IKS,INE115Q01022
BIRLASOFT LIMITED,BSOFT,INE836A01035
KAYNES TECHNOLOGY INDIA LIMITED,KAYNES,INE918Z01012
CEAT LIMITED,CEATLTD,INE482A01020
RELIANCE POWER LIMITED,RPOWER,INE614G01033
ADITYA BIRLA FASHION AND RETAIL LIMITED,ABFRL,INE647O01011
PINE LABS LIMITED,PINELABS,INE15B701018
IDBI BANK LIMITED,IDBI,INE008A01015
CEMINDIA PROJECTS LIMITED,CEMPRO,INE686A01026
WOCKHARDT LIMITED,WOCKPHARMA,INE049B01025
EMMVEE PHOTOVOLTAIC POWER LIMITED,EMMVEE,INE1C6T01020
OLECTRA GREENTECH LIMITED,OLECTRA,INE260D01016
JK TYRE & INDUSTRIES LIMITED,JKTYRE,INE573A01042
RITES LIMITED,RITES,INE320J01015
FIVE-STAR BUSINESS FINANCE LIMITED,FIVESTAR,INE128S01021
SAMMAAN CAPITAL LIMITED,SAMMAANCAP,INE148I01020
BELRISE INDUSTRIES LIMITED,BELRISE,INE894V01022
SYRMA SGS TECHNOLOGY LIMITED,SYRMA,INE0DYJ01015
ACUTAAS CHEMICALS LIMITED,ACUTAAS,INE00FF01025
AMARA RAJA ENERGY & MOBILITY LIMITED,ARE&M,INE885A01032
GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED,GRSE,INE382Z01011
KIRLOSKAR OIL ENGINES LIMITED,KIRLOSENG,INE146L01010
COMPUTER AGE MANAGEMENT SERVICES LIMITED,CAMS,INE596I01020
TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,TARIL,INE763I01026
ECLERX SERVICES LIMITED,ECLERX,INE738I01010
KFIN TECHNOLOGIES LIMITED,KFINTECH,INE138Y01010
THE JAMMU & KASHMIR BANK LIMITED,J&KBANK,INE168A01041
ADITYA INFOTECH LIMITED,CPPLUS,INE819V01029
ZYDUS WELLNESS LIMITED,ZYDUSWELL,INE768C01028
TEJAS NETWORKS LIMITED,TEJASNET,INE010J01012
ANANT RAJ LIMITED,ANANTRAJ,INE242C01024
PHYSICSWALLAH LIMITED,PWL,INE0LP301011
GLAND PHARMA LIMITED,GLAND,INE068V01023
GRANULES INDIA LIMITED,GRANULES,INE101D01020
CHOICE INTERNATIONAL LIMITED,CHOICEIN,INE102B01014
ZEN TECHNOLOGIES LIMITED,ZENTEC,INE251B01027
NBCC (INDIA) LIMITED,NBCC,INE095N01031
HINDUSTAN COPPER LIMITED,HINDCOPPER,INE531E01026
IIFL FINANCE LIMITED,IIFL,INE530B01024
AMBER ENTERPRISES INDIA LIMITED,AMBER,INE371P01015
HBL ENGINEERING LIMITED,HBLENGINE,INE292B01021
RBL BANK LIMITED,RBLBANK,INE976G01028
GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED,GMDCLTD,INE131A01031
REDINGTON LIMITED,REDINGTON,INE891D01026
BRAINBEES SOLUTIONS LIMITED,FIRSTCRY,INE02RE01045
CITY UNION BANK LIMITED,CUB,INE491A01021
